TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,* **Propósito**,4,1,Nicolas (7884583),,,en,America/Sao_Paulo
,,,,,,,,
task,* **Resultado desejado**,4,1,Nicolas (7884583),,,en,America/Sao_Paulo
,,,,,,,,
task,* **Brainstorm**,4,1,Nicolas (7884583),,,en,America/Sao_Paulo
,,,,,,,,
task,* **Organização**,4,1,Nicolas (7884583),,,en,America/Sao_Paulo
,,,,,,,,
task,* **Próximas Ações**,4,1,Nicolas (7884583),,,en,America/Sao_Paulo
,,,,,,,,
task,* **Aguardando Resposta**,4,1,Nicolas (7884583),,,en,America/Sao_Paulo
,,,,,,,,
task,* **Suporte ao Projeto**,4,1,Nicolas (7884583),,,en,America/Sao_Paulo
,,,,,,,,
